{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::wild}} : <span class="content">im natürlichen Zustand befindlich, belassen; vom Menschen nicht verändert; urwüchsig</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine wilde Schlucht, Gegend</span></span></div>
{{c1::wild}} : <span class="content">wuchernd, unkontrolliert wachsend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine wilde Mähne</span></span></li><li><span class="beispiel"><span class="font_normal">Männer mit wilden Bärten</span></span></li><li><span class="beispiel"><span class="font_normal">wild wucherndes Unkraut</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">wildes <span class="font_normal">(Medizin; </span><span class="font_kursiv">bei der Wundheilung entstandenes überschüssiges) </span>Gewebe</span></span></li></ul></div>
{{c1::wild}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/taub#b2-Bedeutung-3" meta-ref-anker="#b2-Bedeutung-3" meta-ref-id="10014802" meta-ref-name="taub" meta-type="art">taub (3)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Bergmannssprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">wildes Erz, Gestein</span></span></div>
{{c1::wild}} : <span class="content">(von Land) nicht urbar gemacht</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">wildes Land</span></span></div>
{{c1::wild}} : <span class="content">unkontrolliert, nicht reglementiert [und oft ordnungswidrig oder gesetzwidrig]; offiziell nicht gestattet</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">wilde Streiks</span></span></li><li><span class="beispiel"><span class="font_normal">wilde <span class="font_kursiv">(nicht lizenzierte) </span>Taxis</span></span></li><li><span class="beispiel"><span class="font_normal">eine wilde <span class="font_kursiv">(durch wildes Abladen von Müll entstandene) </span>Deponie</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">wild <span class="font_kursiv">(an einem nicht dafür vorgesehenen Platz) </span>baden, parken, zelten</span></span></li></ul></div>
{{c1::wild}} : <span class="content">heftig, stürmisch; ungestüm, ungezügelt; durch nichts gehemmt, abgeschwächt, gemildert</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine wilde Verfolgungsjagd</span></span></li><li><span class="beispiel"><span class="font_normal">eine wilde Flucht</span></span></li><li><span class="beispiel"><span class="font_normal">wilde Panik</span></span></li><li><span class="beispiel"><span class="font_normal">in wildem Zorn</span></span></li><li><span class="beispiel"><span class="font_normal">eine wilde Leidenschaft erfüllte sie</span></span></li><li><span class="beispiel"><span class="font_normal">das wild bewegte Wasser</span></span></li><li><span class="beispiel"><span class="font_normal">in wilder Entschlossenheit</span></span></li><li><span class="beispiel"><span class="font_normal">er stach wild auf ihn ein</span></span></li><li><span class="beispiel"><span class="font_normal">alles lag wild durcheinander</span></span></li><li><span class="beispiel"><span class="font_normal">wild fluchend lief er durchs Haus</span></span></li><li><span class="beispiel"><span class="font_normal">sie ist wild <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">fest</span>) entschlossen, den Aufstieg allein zu schaffen</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">wild auf jemanden, etwas sein</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">versessen auf jemanden, etwas sein: <span class="beispiel"><span class="font_normal">er ist ganz wild auf sie</span></span>; <span class="beispiel"><span class="font_normal">wild auf Lakritzen, aufs Skilaufen sein</span></span></span></span>)</span></div>
{{c1::wild}} : <span class="content">wütend, rasend, tobend; erregt</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">wilde Kämpfe, Auseinandersetzungen, Debatten</span></span></li><li><span class="beispiel"><span class="font_normal">ein wilder, wild gewordener Bulle</span></span></li><li><span class="beispiel"><span class="font_normal">wenn du ihm das sagst, wird er wild</span></span></li><li><span class="beispiel"><span class="font_normal">jemanden wild machen</span></span></li><li><span class="beispiel"><span class="font_normal">mit beiden Fäusten trommelte er wild gegen die Tür</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">wie wild</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">mit äußerster Heftigkeit, Intensität o. Ä.: <span class="beispiel"><span class="font_normal">das Kind schrie wie wild</span></span></span></span>)</span></div>
{{c1::wild}} : <span class="content">(von Tieren) in ängstliche Erregung versetzt und scheuend</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">das Feuer hat die Pferde wild gemacht</span></span></div>
{{c1::wild}} : <span class="content">äußerst lebhaft, temperamentvoll</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine wilde Rasselbande</span></span></li><li><span class="beispiel"><span class="font_normal">ein wildes Kind</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">seid nicht so wild!</span></span></li></ul></div>
{{c1::wild}} : <span class="content">äußerst bewegt, ereignisreich</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">umgangssprachlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">wilde Partys feiern</span></span></div>
{{c1::wild}} : <span class="content">das erträgliche Maß überschreitend, maßlos, übermäßig, übertrieben; wüst</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die wildesten Spekulationen, Behauptungen, Anschuldigungen, Verwünschungen</span></span></li><li><span class="beispiel"><span class="font_normal">er stieß wilde Flüche aus</span></span></li><li><span class="beispiel"><span class="font_normal">wilde <span class="font_kursiv">(ausschweifende) </span>Orgien</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">halb/nicht so wild</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">nicht schlimm: <span class="beispiel"><span class="font_normal">es ist [alles] halb so wild</span></span></span></span>)</span></div>
{{c1::verströmen}} : <dd class="content"><a href="http://www.duden.de/rechtschreibung/ausstroemen#b2-Bedeutung-a" meta-ref-anker="#b2-Bedeutung-a" meta-ref-id="10174839" meta-ref-name="ausstroemen" meta-type="art">ausströmen (a)</a></dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen üblen Geruch verströmen</span></span></li><li><span class="beispiel"><span class="font_normal">ihr Körper verströmte Wärme</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">sie verströmt Optimismus</span></span></li></ul></div>
{{c1::herumfuchteln}} : <dd class="content">(mit etwas) fuchtelnde Bewegungen ausführen</dd>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">der Einbrecher fuchtelte mit der Pistole herum</span></span></div>
{{c1::Wange}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/Backe_Wange_Seitenteil#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10042133" meta-ref-name="Backe_Wange_Seitenteil" meta-type="art">Backe (1)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">volle, feiste, fleischige, hagere, hohle, eingefallene, schlaffe, rote, gerötete, tränennasse Wangen</span></span></li><li><span class="beispiel"><span class="font_normal">ein Kuss auf die Wange</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">eine dicke Träne lief ihr über die Wange</span></span></li></ul></div>
{{c1::Wange}} : <span class="content">paariges, eine seitliche Begrenzung von etwas bildendes Teil; Seitenteil, -wand</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Wangen einer Treppe, eines Regals</span></span></div>
{{c1::Wange}} : <span class="content">auf einem <a href="http://www.duden.de/rechtschreibung/Kaempfer_Teil_Bogen_Tuer_Fenster#b2-Bedeutung-1a" meta-ref-anker="#b2-Bedeutung-1a" meta-ref-id="10105321" meta-ref-name="Kaempfer_Teil_Bogen_Tuer_Fenster" meta-type="art">Kämpfer (1a)</a> ruhender seitlicher Teil eines Gewölbes</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache, Architektur</span></p></div>
{{c1::Wange}} : <span class="content">seitliche Fläche des Blattes einer Axt o. Ä.<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100283046"><img meta-alt="Wange" meta-bu="© Bibliographisches Institut, Berlin" meta-dateiname="Wange-201100283046.jpg" meta-ref-id="201100283046" meta-size="medium" meta-title="Wange" meta-type="image" src="http://duden.de/_media_/small/W/Wange-201100283046.jpg"/></a><br/><span class="bu">© Bibliographisches Institut, Berlin</span><span style="display:none"><span class="colorboxbiga" id="largimage201100283046"><img class="hidden" src="http://duden.de/_media_/full/W/Wange-201100283046.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">© Bibliographisches Institut, Berlin</span></span></span></span></span></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache</span></p></div>
{{c1::Einnahme}} : <span class="content">Geldsumme, die jemand einnimmt</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>meist im Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">private, öffentliche Einnahmen</span></span></li><li><span class="beispiel"><span class="font_normal">eine unerwartete Einnahme erzielen, verbuchen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">seine Einnahmen steigen</span></span></li></ul></div>
{{c1::Einnahme}} : <span class="content">das <a href="http://www.duden.de/rechtschreibung/einnehmen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10016542" meta-ref-name="einnehmen" meta-type="art">Einnehmen (2)</a><span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201100279014"><img meta-alt="Einnahme - Mädchen bei der Einnahme einer Mahlzeit" meta-bu="Mädchen bei der Einnahme einer Mahlzeit - © MEV Verlag, Augsburg" meta-dateiname="Einnahme-201100279014.jpg" meta-ref-id="201100279014" meta-size="medium" meta-title="Einnahme - Mädchen bei der Einnahme einer Mahlzeit" meta-type="image" src="http://duden.de/_media_/small/E/Einnahme-201100279014.jpg"/></a><br/><span class="bu">Mädchen bei der Einnahme einer Mahlzeit - © MEV Verlag, Augsburg</span><span style="display:none"><span class="colorboxbiga" id="largimage201100279014"><img class="hidden" src="http://duden.de/_media_/full/E/Einnahme-201100279014.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Mädchen bei der Einnahme einer Mahlzeit - © MEV Verlag, Augsburg</span></span></span></span></span></span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Einnahme von Tabletten einschränken</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Einnahme einer Mahlzeit</span></span></li></ul></div>
{{c1::Einnahme}} : <span class="content">das Erobern, Besetzen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Einnahme der Stadt</span></span></div>
{{c1::niedlich}} : <span class="content">durch seine hübsche Kleinheit, Zierlichkeit, durch zierliche, anmutige Bewegungen o. Ä. Gefallen erregend, Entzücken hervorrufend; lieb, goldig, reizend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein niedliches Kind</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">niedlich aussehen</span></span></li></ul></div>
{{c1::niedlich}} : <span class="content">im Verhältnis zu anderem sehr klein, fast zu klein; winzig</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">landschaftlich, oft scherzhaft</span></p></div>
{{c1::Ausruf}} : <span class="content">kurze, laute Äußerung als Ausdruck einer Gemütsbewegung</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein Ausruf des Entsetzens, der Überraschung</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemanden mit einem freudigen Ausruf begrüßen</span></span></li></ul></div>
{{c1::Ausruf}} : <span class="content">öffentliche Ankündigung, Bekanntmachung durch <a href="http://www.duden.de/rechtschreibung/ausrufen#b2-Bedeutung-2a" meta-ref-anker="#b2-Bedeutung-2a" meta-ref-id="10125991" meta-ref-name="ausrufen" meta-type="art">Ausrufen (2a)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">selten</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">etwas durch Ausruf bekannt machen</span></span></div>
